id,name,result,duration,passed
1,b48d48fc1b6eb080412129e596ab2193,ImportError,5.47,False
1,3287286,OtherPass,10.24,True
1,2192812,ImportError,2.19,False
1,1e58686b6d5193cbaf30,ImportError,1.73,False
1,5752919,OtherFailure,3.73,False
1,4232775,ModuleNotFound,8.36,False
1,5649074,OtherPass,0.51,True
1,4594879,AttributeError,6.73,True
1,d4d90bc5b8fb9a56fa2d4f2383a2eda7,ImportError,5.47,False
1,2321077,OtherPass,9.69,True
1,3113810,ImportError,1.57,False
1,e97d518fe02a79177b081c028a83ec1c,OtherPass,9.38,True
1,5213fabf2bcb943efc82f00959b91163,OtherFailure,5.25,False
1,21fbffd7a7990f5e066c,ImportError,12.39,False
1,2420407,ImportError,8.39,False
1,8ce64008710128f3a076,AttributeError,5.98,True
1,8ac8be9010ebfa59c599d7915e9a7a47,ModuleNotFound,1.62,False
1,4992092,OtherFailure,15.16,False
1,1219671,OtherFailure,2.29,False
1,5690132,ImportError,1.16,False
1,5849024,ImportError,2.64,False
1,977777,OtherPass,0.07,True
1,2eec49ca1e4f58c5310d72918d991ef6,AttributeError,12.18,True
1,3411495,ImportError,6.19,False
1,6325830,OtherPass,0.49,True
1,6333547,OtherPass,3.68,True
1,1835224,OtherPass,4.14,True
1,3719849,ImportError,9.94,False
1,7521277,AttributeError,7.41,True
1,5521734,AttributeError,5.39,True
1,4543974,OtherFailure,7.2,False
1,a52b036424bd9975d719f224ca8cc8d5,ModuleNotFound,1.4,False
1,6499135,OtherPass,16.63,True
1,5898352,OtherPass,1.64,True
1,844388,OtherPass,4.16,True
1,e4907ccc9f6c1bb49b17,OtherPass,0.85,True
1,d85b17e6e13fd8dcad7cf51d1c6b3a1c,ImportError,0.82,False
1,f3ce814ee66c965638fe,ImportError,1.04,False
1,4171521,OtherPass,5.05,True
1,2025129,OtherPass,0.14,True
1,9098744,ModuleNotFound,1.59,False
1,7310160,ImportError,1.56,False
1,1943426,ImportError,3.85,False
1,77d02d8f2f09e27de08b,ModuleNotFound,2.38,False
1,608595,OtherPass,6.77,True
1,329142c1740500bd3797,ImportError,3.33,False
1,3fb234c37b5c2c934b79,OtherPass,1.68,True
1,0bdd7059a08cbcd00898,ModuleNotFound,20.68,False
1,7eca8b9f0ff5b3bfb742,OtherPass,6.71,True
1,dbec2584e7508cbfc79e,OtherPass,0.59,True
1,dfca335e370a2bc3bc79876e6270099e,ImportError,0.31,False
1,8683457,ModuleNotFound,1.21,False
1,398429347c96e98aba88,ImportError,0.0,False
1,1715202,SyntaxError,10.73,True
1,b493a228c4081ff0260b,OtherPass,24.76,True
1,f7fdb8284643b1c175a9,OtherFailure,4.23,False
1,5753650,ModuleNotFound,2.65,False
